     x                              errore sistema 1 con Jacobi
  1.00                                               2.14972445
  2.00                                               5.58039797
  3.00                                              14.29625811
  4.00                                              67.55558579
  5.00                                             284.81002706
  6.00                                            1361.35048760
  7.00                                            6228.67694481
  8.00                                           29165.71328204
  9.00                                          135142.10643972
 10.00                                          629594.35536883
 11.00                                         2924964.99201700
 12.00                                        13609438.80470454
 13.00                                        63269402.76451542
 14.00                                       294277014.48970586
 15.00                                      1368352263.08887744
 16.00                                      6363712404.56712818
 17.00                                     29592465978.09664154
 18.00                                    137618486166.55734253
 19.00                                    639966824145.98291016
 20.00                                   2976097056917.47412109
 21.00                                  13839849064820.28125000
 22.00                                  64360415695099.03906250
 23.00                                 299298396214119.56250000
 24.00                                1391845738683273.25000000
 25.00                                6472575388843514.00000000
 26.00                               30099796043159664.00000000
 27.00                              139974760859468320.00000000
 28.00                              650932668903966976.00000000
 29.00                             3027068930855213056.00000000
 30.00                            14076951301096876032.00000000
 31.00                            65462844504160149504.00000000
 32.00                           304425590237688168448.00000000
 33.00                          1415687602878961942528.00000000
 34.00                          6583452530850147598336.00000000
 35.00                         30615403215292278505472.00000000
 36.00                        142372549256047851732992.00000000
 37.00                        662083153537671893090304.00000000
 38.00                       3078922906509194202972160.00000000
 39.00                      14318090108503311284961280.00000000
 40.00                      66584227908154149652398080.00000000
 41.00                     309640417849053790083219456.00000000
 42.00                    1439938426945328820508426240.00000000
 43.00                    6696227473907899874519547904.00000000
 44.00                   31139847057305145184186531840.00000000
 45.00                  144811399921771299939058450432.00000000
 46.00                  673424680266036743531806064640.00000000
 47.00                 3131665050030861287161621118976.00000000
 48.00                14563359902172424057577145368576.00000000
 49.00                67724819944060569097833556213760.00000000
 50.00               314944577850753613343945331310592.00000000
 51.00              1464604663389595148179023090155520.00000000
 52.00              6810934275054995194869858370060288.00000000
 53.00             31673274610302606677643150642642944.00000000
 54.00            147292028380672665842281528535547904.00000000
 55.00            684960487711221893859381038811185152.00000000
 56.00           3185310670806607262203620019648069632.00000000
 57.00          14812831180169635135008558338034106368.00000000
 58.00          68884950401607617461622310027919360000.00000000
 59.00         320339598427621715053364421805519929344.00000000
 60.00        1489693434088301085416328318314640048128.00000000
 61.00        6927606010804069904167229512040602140672.00000000
 62.00       32215839811565231675159618940976647634944.00000000
 63.00      149815150160937413080936467512689931845632.00000000
