     x                         errore sistema 2 con Gauss Sidel
  1.00                                               4.30439238
  2.00                                              11.79084948
  3.00                                              31.14016497
  4.00                                              81.75603372
  5.00                                             214.47742307
  6.00                                             562.60892476
  7.00                                            1475.80718940
  8.00                                            3871.26767566
  9.00                                           10154.93367485
 10.00                                           26637.96752256
 11.00                                           69875.52907711
 12.00                                          183294.37684815
 13.00                                          480809.65110604
 14.00                                         1261238.47814442
 15.00                                         3308424.64507921
 16.00                                         8678512.28997502
 17.00                                        22765087.20881627
 18.00                                        59716363.62453799
 19.00                                       156645307.43210286
 20.00                                       410904999.08512861
 21.00                                      1077867706.61069036
 22.00                                      2827414598.36444283
 23.00                                      7416748142.66592693
 24.00                                     19455283651.55884552
 25.00                                     51034234233.35494232
 26.00                                    133870732004.27244568
 27.00                                    351163746386.66949463
 28.00                                    921157111267.49865723
 29.00                                   2416338338936.50000000
 30.00                                   6338431193545.74511719
 31.00                                  16626690620236.66210938
 32.00                                  43614394877799.44531250
 33.00                                 114407339620633.57812500
 34.00                                 300108241688194.68750000
 35.00                                 787230583525748.37500000
 36.00                                2065028231654422.00000000
 37.00                                5416890154891081.00000000
 38.00                               14209345180064524.00000000
 39.00                               37273321901112584.00000000
 40.00                               97773719192431552.00000000
 41.00                              256475668846545792.00000000
 42.00                              672775560279340416.00000000
 43.00                             1764794908401216256.00000000
 44.00                             4629331462970648576.00000000
 45.00                            12143456269071360000.00000000
 46.00                            31854174050483945472.00000000
 47.00                            83558451725385138176.00000000
 48.00                           219186811865788907520.00000000
 49.00                           574961090157361889280.00000000
 50.00                          1508212343529869148160.00000000
 51.00                          3956275497796370432000.00000000
 52.00                         10377925815028930314240.00000000
 53.00                         27222913136922122518528.00000000
 54.00                         71409934207391625117696.00000000
 55.00                        187319361372379093663744.00000000
 56.00                        491367812257750871703552.00000000
 57.00                       1288934177193761123074048.00000000
 58.00                       3381074770658122283352064.00000000
 59.00                       8869084866435650051637248.00000000
 60.00                      23264988710298963807305728.00000000
 61.00                      61027682995648487586004992.00000000
 62.00                     160085102047294478033616896.00000000
 63.00                     419928115234524070460522496.00000000
